TwitchName,Sunglasses,Hat,Cape,Companion,Special
flyann,Sunglasses11,Hat11,Cape02,Companion,
pretzelhaus,Sunglasses11,Hat11,Cape04,Companion,
nobachono,Sunglasses11,Hat11,Cape,Companion,
shadowfan16,Sunglasses02,Hat02,Cape04,Companion,
sciencegeniusgirl,Sunglasses,,,,
undefined_n,Sunglasses,Hat,,Companion,
dewqu,Sunglasses11,Hat11,Cape07,Companion,
aprettyrose,,Hat02,,,
foolish_lad,Sunglasses11,Hat09,,Companion,
dabtec,Sunglasses02,Hat11,,Companion,
galaxydusking,Sunglasses11,Hat11,,Companion,
verraze,Sunglasses02,,,,
ilovefishing357,,Hat,,,
blookydoopy,Sunglasses06,,,,
rikiryuu,Sunglasses02,Hat,,,
doryk_krystania,Sunglasses11,Hat10,Cape09,Companion,
swingecko,Sunglasses,Hat02,,,
anoobisk,Sunglasses,Hat11,Cape,Companion,
zeoplez,Sunglasses04,Hat,Cape05,Companion,
bareyoursoul,Sunglasses02,Hat,,,
vigeneres,,Hat02,,,
onionalchemist,Sunglasses02,Hat04,,,
anten,Sunglasses11,Hat11,,,
valkiscalmor,Sunglasses,Hat,Cape06,Companion,
thefiggypudding,Sunglasses11,Hat04,Cape07,Companion,
ropsu33,Sunglasses11,Hat11,Cape05,Companion,
lorenxix_dagmos,Sunglasses11,Hat11,Cape06,Companion,
darkrai_drive,Sunglasses11,Hat11,Cape04,Companion,
melonstorm,Sunglasses03,Hat11,Cape10,Companion,
ravenghoul55,Sunglasses11,Hat11,Cape03,Companion,
soupslice,Sunglasses11,Hat11,Cape05,Companion,
merinomaraschino,Sunglasses,,,,
spenerico,,Hat04,,,
mediumhatlogantwo,Sunglasses02,Hat04,,,
an1hony28,Sunglasses,Hat02,,,
elethia29,Sunglasses02,Hat11,,Companion,
koune_samson,Sunglasses02,Hat04,,Companion,
tenasu_,Sunglasses04,Hat06,Cape08,Companion,
48salt,Sunglasses02,,,,
monikz100,Sunglasses02,Hat02,,,
somefalcomain74,Sunglasses08,Hat10,Cape06,Companion,
dicoray,Sunglasses11,Hat11,,Companion,
mister_aa,Sunglasses02,Hat10,Cape02,Companion,
solidst,Sunglasses11,Hat11,Cape10,Companion,
umbreonedu,Sunglasses09,Hat11,Cape10,Companion,
bezelea,Sunglasses,Hat02,,,
quasheck,Sunglasses06,,,Companion,
bardic01,Sunglasses02,Hat,,,
omegaerick12,Sunglasses03,Hat08,Cape02,Companion,
babyslamdunk,Sunglasses,Hat,,,
chefmh,Sunglasses02,Hat,,,
seeqprotectionsquad,Sunglasses,,,,
lednael,Sunglasses,Hat10,Cape,Companion,
centzonmimixcoa,Sunglasses11,Hat11,Cape02,Companion,
nikof309,Sunglasses,Hat,,,
alollypoop,Sunglasses08,Hat11,Cape06,Companion,
alfredogx,Sunglasses,Hat06,Cape,Companion,
blueocean2121,Sunglasses02,Hat,,,
razz_666,Sunglasses,Hat04,,,
aubreebree,Sunglasses07,Hat06,Cape02,Companion,
reesch,,Hat03,,,
cheebins__,Sunglasses,,,,
cannibaldaddy69,Sunglasses11,Hat,Cape06,Companion,
mudkip1013,Sunglasses11,Hat,Cape07,Companion,
basura_sama,Sunglasses,Hat,,,
micrononline,Sunglasses,Hat10,,Companion,
merouln,Sunglasses02,,,,
propermonk,Sunglasses08,Hat,Cape07,Companion,
ace_rimmer_,Sunglasses02,,,,
aromaladyrhea,Sunglasses11,Hat11,Cape09,Companion,
katsuart,Sunglasses02,Hat02,,,
letouriste_,Sunglasses11,Hat11,Cape06,Companion,
tameggy,Sunglasses11,Hat11,Cape02,Companion,
artophobic,Sunglasses02,Hat03,Cape,,
apektako,Sunglasses02,Hat04,,,
sgttin,Sunglasses11,Hat10,Cape06,Companion,
arka_nox,Sunglasses,,,,
sumsum213,Sunglasses,Hat02,,,
makeshiftowl,Sunglasses02,Hat,,Companion,
acro_hanbakka,Sunglasses02,Hat11,Cape10,Companion,
fiets_freek,Sunglasses02,Hat11,Cape06,Companion,
frostelus,Sunglasses,Hat11,Cape03,Companion,
copametic,Sunglasses,Hat04,,,
qtiphdtv,Sunglasses11,Hat11,Cape07,Companion,
chumbochumbi,Sunglasses11,Hat03,,,
billrex7,Sunglasses08,Hat08,,Companion,
whathahell,Sunglasses02,Hat04,Cape06,Companion,
nugbones,Sunglasses,Hat10,Cape10,Companion,
someanna,Sunglasses,Hat10,Cape09,Companion,
darksoulsnoway,Sunglasses08,Hat02,,Companion,
xepher994,Sunglasses,,,,
yutasura,,Hat02,,,
mwb51,Sunglasses11,Hat10,Cape05,Companion,
